Time,X,Y
2.02775,22.7012,24.0327
2.02775,35.1148,0.49982
2.02775,24.4031,24.2463
2.02775,13.4713,15.5767
3.04545,20.754,8.40312
3.04545,34.5183,14.152
3.04545,6.841,18.6219
3.04545,11.7041,18.3213
3.04545,36.5974,12.1414
3.04545,13.8262,17.4821
3.04545,18.543,13.3466
3.04545,33.9439,31.3235
3.04545,36.4319,14.0413
3.04545,22.5698,13.5845
3.04545,33.4745,1.84669
3.04545,35.943,25.3812
4.02055,26.8088,18.7315
4.02055,19.0573,25.1341
4.02055,1.08958,27.4958
4.02055,9.26097,13.6282
4.02055,25.7229,25.2797
4.02055,0.559933,10.9055
4.02055,16.6994,23.3401
4.02055,36.9061,0.0528531
4.02055,29.7421,20.6405
5.04005,0.611888,15.6018
5.04005,10.8822,21.8123
5.04005,1.4368,29.9723
5.04005,20.5819,17.6298
5.04005,27.778,6.53674
6.00009,23.3792,10.2354
6.00009,12.6394,21.3028
6.00009,29.0989,6.03038
6.00009,18.0596,19.6107
6.00009,11.1716,22.6531
6.00009,15.5285,2.14044
6.00009,30.2866,12.6437
6.00009,13.5439,31.6632
6.00009,36.0839,13.693
7.03013,16.8788,16.4971
7.03013,33.9459,7.56761
7.03013,17.6872,18.3171
7.03013,11.5078,8.24852
7.03013,24.1948,7.58824
7.03013,14.1594,15.2725
8.03124,10.9487,21.2183
8.03124,30.7811,15.8633
8.03124,36.6095,0.222708
8.03124,33.8983,26.8168
8.03124,1.00673,9.35786
8.03124,36.9858,14.4504
9.0069,5.22039,13.5544
9.0069,21.1926,9.00783
10.0296,13.556,20.3551
10.0296,23.4047,2.35206
10.0296,27.2396,26.9717
10.0296,14.5013,16.992
10.0296,16.335,19.8125
10.0296,31.9667,14.9966
10.0296,13.9812,15.2
10.0296,25.1867,1.62516
10.0296,33.3099,15.1747
11.0048,15.4536,19.7524
11.0048,11.476,22.3635
11.0048,28.9668,17.8147
11.0048,34.5621,31.7724
11.0048,16.2143,30.9473
11.0048,1.45283,4.89847
11.0048,1.79844,20.6566
11.0048,25.7071,26.6688
12.0218,11.3841,22.1865
12.0218,16.8705,8.13293
12.0218,14.8038,1.10559
12.0218,28.8606,7.26137
12.0218,29.0806,28.9843
12.0218,16.4487,31.0361
12.0218,5.18969,11.7629
12.0218,33.0907,9.20516
12.0218,8.93787,8.51447
13.015,19.4372,9.18169
13.015,19.6954,31.0225
13.015,34.1178,30.0821
13.015,14.9623,29.3756
14.0351,10.6139,8.70703
14.0351,32.4459,28.9791
14.0351,4.10771,25.1546
14.0351,17.0603,2.52526
15.0105,35.714,10.2716
15.0105,14.6502,18.235
15.0105,17.868,29.5604
15.0105,16.7566,7.56131
15.0105,18.3004,31.6261
15.0105,28.589,21.6785
15.0105,28.8689,23.6858
15.0105,30.6355,27.5111
15.0105,18.8789,13.6435
15.0105,5.86884,15.2192
15.0105,34.8291,32.0404
15.0105,18.3839,28.0839
15.0105,16.5153,5.29334
16.0182,35.2648,4.09535
16.0182,3.95813,24.3575
16.0182,22.5424,3.21606
16.0182,15.1419,12.0421
16.0182,28.417,6.56655
16.0182,2.34845,18.9958
16.0182,0.84918,1.7813
16.0182,29.7364,4.79525
16.0182,5.11285,13.5318
16.0182,35.282,4.13463
16.0182,9.08456,19.5418
17.0005,35.2993,15.8417
17.0005,13.8957,14.8075
17.0005,15.8421,23.7778
17.0005,21.7349,5.83519
17.0005,-0.00143985,18.165
17.0005,14.2081,20.0274
17.0005,32.9963,11.0974
18.0284,16.5714,8.3814
18.0284,35.1243,15.6215
18.0284,31.1793,13.1379
18.0284,12.8193,17.9247
18.0284,21.9222,6.04667
18.0284,12.8125,17.8094
18.0284,18.1735,4.68711
19.04,12.7512,17.8959
19.04,12.9209,11.1213
19.04,23.8954,7.4162
19.04,1.80223,7.85004
19.04,13.8855,15.8146
19.04,0.247296,31.2944
19.04,16.0378,25.2433
19.04,3.78095,23.459
19.04,12.9685,20.6596
19.04,2.66379,8.8278
19.04,23.6577,2.37454
19.04,11.5414,21.2523
